종목명,코드,시장,영문명,분석시간봉,신호기준,24시간거래대금,24시간등락률_pct,시장경보,주의사유,점수,위치분류,흐름판정,흐름근거,현재가,일봉기준종가,박스하단,박스상단,박스내위치%,장중박스위치_pct,장중등락_완성일봉대비_pct,매수존하단,매수존상단,진한매수존하단,진한매수존상단,중심존하단,중심선,중심존상단,매도존하단,매도존상단,진한매도존하단,진한매도존상단,급등폭%,조정깊이%,거래량감소%,박스경과일,1차익절손익비,최종목표손익비,참고손익비,실전진입판정,일봉안전판정,진입금지사유,5분봉확인규칙,추가매수규칙,주의,선별모드,진입구간하단,진입구간상단,1차분할매수가_30pct,2차분할매수가_30pct,3차분할매수가_40pct,계획평균매수가,손절가,일봉매매종료라인,1차익절_35%,2차익절_35%,3차익절_30%,데이터기준일,순위,진입성향태그,4시간봉판정,1시간봉판정,15분봉판정,5분봉판정,과매매판정,당일동일코인진입횟수,과매매금지사유
비트코인,KRW-BTC,UPBIT-KRW,Bitcoin,1D,마지막 완성 일봉 종가,85977680041,0.31,False,,4.5,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,105175000.0,104852000.0,102000000.0,112000000.0,29,32,0.31,102000000.0,103500000.0,102000000.0,102500000.0,106080292.0,106935778.0,107791264.0,109000000.0,112000000.0,111000000.0,112000000.0,27,32,42,19,1.09,2.41,1.09,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"급등폭완화,관찰보충,현재가매수존초과,신규진입관망",관찰보충,102000000.0,103500000.0,103500000.0,102750000.0,102250000.0,102775000.0,98940000.0,104220000.0,106936000.0,109000000.0,112000000.0,2026-09-16,3순위,박스중단·반등기대,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
온도파이낸스,KRW-ONDO,UPBIT-KRW,Ondo Finance,1D,마지막 완성 일봉 종가,20448475222,1.05,False,,4.0,매수존·확인대기,하락·매수구간,매수존 내부 — 지지 캔들 확인 전 선매수 금지,482.0,477.0,442.0,708.0,13,15,1.05,442.0,481.9,442.0,455.3,538.8,545.5,552.1,628.2,708.0,681.4,708.0,99,68,-42,130,2.44,7.24,2.44,관망,관망,장중 현재가가 매수존 상단 초과 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"조정깊음,거래량주의,박스폭넓음,현재가매수존초과,신규진입관망",완화,442.0,481.9,481.0,461.0,448.0,462.0,428.0,468.0,545.0,628.0,708.0,2026-09-16,3순위,단기박스하단·되돌림매수,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
에이다,KRW-ADA,UPBIT-KRW,Ada,1D,마지막 완성 일봉 종가,11616778900,-0.74,False,,4.0,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,269.0,271.0,260.0,316.0,20,16,-0.74,260.0,268.4,260.0,262.8,286.7,289.0,291.3,299.2,316.0,310.4,316.0,69,58,-53,25,2.08,4.33,2.08,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"거래량주의,현재가매수존초과,신규진입관망",엄격,260.0,268.4,268.0,264.0,261.0,264.0,252.0,274.0,289.0,299.0,316.0,2026-09-16,3순위,단기박스하단·되돌림매수,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
체인링크,KRW-LINK,UPBIT-KRW,Chainlink,1D,마지막 완성 일봉 종가,5367882605,0.66,False,,4.0,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,15320.0,15220.0,14560.0,17400.0,23,27,0.66,14560.0,14986.0,14560.0,14702.0,15683.0,15810.0,15936.0,16548.0,17400.0,17116.0,17400.0,75,43,-38,9,1.56,3.97,1.56,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"거래량주의,박스미성숙,관찰보충,현재가매수존초과,신규진입관망",관찰보충,14560.0,14986.0,14980.0,14770.0,14630.0,14780.0,14120.0,14990.0,15810.0,16550.0,17400.0,2026-09-16,3순위,단기박스상단·추격주의,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
수이,KRW-SUI,UPBIT-KRW,Sui,1D,마지막 완성 일봉 종가,9900858357,0.61,False,,3.5,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,988.0,982.0,919.0,1175.0,25,27,0.61,919.0,957.4,919.0,931.8,1038.0,1047.0,1055.0,1098.0,1175.0,1149.0,1175.0,46,79,30,25,2.32,5.04,2.32,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"조정깊음,현재가매수존초과,신규진입관망",엄격,919.0,957.4,957.0,938.0,925.0,938.0,891.0,969.0,1047.0,1098.0,1175.0,2026-09-16,4순위,박스중단·반등기대,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
쓰레스홀드,KRW-T,UPBIT-KRW,Threshold,1D,마지막 완성 일봉 종가,5274401924,-0.32,False,,3.5,하단반등대기,하단 회복,매수존과 중심존 사이의 회복 여부 확인,6.14,6.16,5.62,8.27,20,20,-0.32,5.62,6.018,5.62,5.753,6.481,6.548,6.614,7.475,8.27,8.005,8.27,88,58,-95,14,1.97,6.62,1.97,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인 / 직전 2개 봉 저점 이탈,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"거래량주의,박스미성숙,현재가매수존초과,신규진입관망",완화,5.62,6.018,6.01,5.81,5.68,5.82,5.45,5.62,6.55,7.48,8.27,2026-09-16,4순위,단기박스하단·되돌림매수,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인 / 직전 2개 봉 저점 이탈,진입가능,0,
웨이브,KRW-WAVES,UPBIT-KRW,Waves,1D,마지막 완성 일봉 종가,6121603829,1.12,False,,3.0,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,360.0,356.0,325.0,481.0,20,22,1.12,325.0,348.4,325.0,332.8,380.8,384.7,388.6,434.2,481.0,465.4,481.0,93,57,-24,7,2.33,6.9,2.33,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"거래량주의,박스미성숙,관찰보충,현재가매수존초과,신규진입관망",관찰보충,325.0,348.4,348.0,336.0,328.0,336.0,315.0,341.0,385.0,434.0,481.0,2026-09-16,4순위,단기박스하단·되돌림매수,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음,진입가능,0,
헤데라,KRW-HBAR,UPBIT-KRW,Hedera,1D,마지막 완성 일봉 종가,5058413550,-0.98,False,,3.0,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,101.0,102.0,98.6,117.0,18,13,-0.98,98.6,101.4,98.6,99.52,105.3,106.2,107.0,111.5,117.0,115.2,117.0,32,63,42,25,1.42,3.98,1.42,관망,관망,완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 5분봉 종가가 매수존 안에 없음,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"조정깊음,급등폭완화,신규진입관망",완화,98.6,101.4,101.0,99.9,99.0,99.9,95.6,100.0,106.0,111.0,117.0,2026-09-16,4순위,박스중단·반등기대,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 5분봉 종가가 매수존 안에 없음,진입가능,0,
도지코인,KRW-DOGE,UPBIT-KRW,Dogecoin,1D,마지막 완성 일봉 종가,17283176846,-0.89,False,,2.5,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,111.0,112.0,107.0,130.0,22,17,-0.89,107.0,110.5,107.0,108.2,118.0,119.0,119.9,123.1,130.0,127.7,130.0,43,64,-3,25,2.2,4.4,2.2,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"조정깊음,거래량주의,현재가매수존초과,신규진입관망",엄격,107.0,110.5,110.0,108.0,107.0,108.0,103.0,110.0,119.0,123.0,130.0,2026-09-16,4순위,박스중단·반등기대,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
앱토스,KRW-APT,UPBIT-KRW,Aptos,1D,마지막 완성 일봉 종가,3616474331,0.39,False,,1.0,하단반등대기,하락,매수존과 중심존 사이의 회복 여부 확인,766.0,763.0,719.0,919.0,22,24,0.39,719.0,749.0,719.0,729.0,805.9,812.4,818.9,859.0,919.0,899.0,919.0,31,75,-9,7,2.11,5.0,2.11,관망,관망,장중 현재가가 매수존 상단 초과 / 완성 일봉 종가가 매수존 밖 / 일봉·현재가 안전조건 미통과 / 최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,매수존 터치 후 5분봉 종가 재진입 + 양봉 전환 + 직전 저점 미이탈 시에만 진입,최초 진입 전에 정한 매수존 내부 2~3회만 허용; 손절가 이탈 후 추가매수 금지,"조정깊음,거래량주의,박스미성숙,급등폭완화,관찰보충,현재가매수존초과,신규진입관망",관찰보충,719.0,749.0,749.0,734.0,724.0,734.0,697.0,708.0,812.0,859.0,919.0,2026-09-16,4순위,박스중단·반등기대,박스 하단 유지,박스 하단 유지,하락 가속 중단 또는 미확인,최근 6개 5분봉이 매수존 미접촉 / 최근 5분봉 종가가 매수존 안에 없음 / 양봉 전환·직전 종가 회복 미확인,진입가능,0,
