2026-08-22 15:43:09,734 | WARNING | KRW-UP2 일봉 부족: 101개
2026-08-22 15:43:11,106 | WARNING | KRW-BIRB 일봉 부족: 200개
2026-08-22 15:43:20,250 | WARNING | KRW-ESP 일봉 부족: 179개
2026-08-22 15:43:21,949 | INFO | 일봉 수집: 73/73 / 성공 52 / 실패 21
2026-08-22 15:43:21,979 | INFO | 분석 진행: 50/73
2026-08-22 15:43:21,993 | WARNING | 최소 목표 20페어 미달: 11페어
2026-08-22 15:43:25,202 | INFO | 분봉 수집: 1/11 / KRW-UNI
2026-08-22 15:43:28,488 | INFO | 분봉 수집: 2/11 / KRW-ONDO
2026-08-22 15:43:31,753 | INFO | 분봉 수집: 3/11 / KRW-ENSO
2026-08-22 15:43:35,238 | INFO | 분봉 수집: 4/11 / KRW-TRX
2026-08-22 15:43:38,725 | INFO | 분봉 수집: 5/11 / KRW-JTO
2026-08-22 15:43:41,988 | INFO | 분봉 수집: 6/11 / KRW-XEC
2026-08-22 15:43:45,211 | INFO | 분봉 수집: 7/11 / KRW-NEAR
2026-08-22 15:43:48,504 | INFO | 분봉 수집: 8/11 / KRW-AVNT
2026-08-22 15:43:52,249 | INFO | 분봉 수집: 9/11 / KRW-ATOM
2026-08-22 15:43:55,488 | INFO | 분봉 수집: 10/11 / KRW-MMT
2026-08-22 15:43:58,762 | INFO | 분봉 수집: 11/11 / KRW-XLM
2026-08-22 15:44:01,620 | INFO | 완료: 11페어
2026-08-22 16:56:34,636 | INFO | UPBIT KRW 박스 스캔 시작
2026-08-22 16:56:36,170 | INFO | 현재가/거래대금 수집 1/6 (50페어)
2026-08-22 16:56:37,362 | INFO | 현재가/거래대금 수집 2/6 (50페어)
2026-08-22 16:56:38,060 | INFO | 현재가/거래대금 수집 3/6 (50페어)
2026-08-22 16:56:38,714 | INFO | 현재가/거래대금 수집 4/6 (50페어)
2026-08-22 16:56:39,435 | INFO | 현재가/거래대금 수집 5/6 (50페어)
2026-08-22 16:56:40,400 | INFO | 현재가/거래대금 수집 6/6 (34페어)
2026-08-22 16:56:41,059 | INFO | 유니버스: 72페어 / 최소 24시간 거래대금 3000000000원 / 경보 제외=True / 주의 제외=True
2026-08-22 16:57:02,663 | WARNING | KRW-RE 일봉 부족: 64개
